"full_name","html_url","clone_url","default_branch","description","matched_frameworks","stars","forks","language","topics","open_issues","size_kb","created_at","updated_at","pushed_at","license","lifetime_days","contributors","total_commits","commits_per_month"
"Yagami360/ai-product-dev-tips","https://github.com/Yagami360/ai-product-dev-tips","https://github.com/Yagami360/ai-product-dev-tips.git","master","AIプロダクト開発のための Tips 集","langchain","29","0","Python","mlops","24","41668","2019-08-02T11:07:42Z","2026-06-12T08:45:56Z","2026-06-12T08:45:51Z","","2505","2","634","7.59"
"IBM/ReActXen","https://github.com/IBM/ReActXen","https://github.com/IBM/ReActXen.git","main","This is a base-react agent for AssetOpsBench","langchain","23","5","Python","","12","42864","2025-06-17T17:24:21Z","2026-06-12T15:51:53Z","2026-06-12T15:51:36Z","Apache-2.0","359","6","68","5.68"
"YeonwooSung/ai_book","https://github.com/YeonwooSung/ai_book","https://github.com/YeonwooSung/ai_book.git","master","AI book for everyone","langchain","34","7","Jupyter Notebook","ai,ai-ml,cv,deep-learning,gpt-4,knowledge-distillation,llama,llm,llmops,machine-learning,machinelearning,mlops,mlops-workflow,nlp,pytorch,sagemaker,tutorial,xai","23","662313","2020-06-27T15:46:28Z","2026-04-17T14:10:03Z","2026-04-08T06:51:07Z","","2110","3","672","9.55"
"Syslifters/sysreptor","https://github.com/Syslifters/sysreptor","https://github.com/Syslifters/sysreptor.git","main","A customizable and powerful penetration testing reporting platform for offensive security professionals. Simplify, customize, and automate your pentest reports with ease.","langchain","2493","275","Python","cape,cdsa,chhb,cpts,hackthebox,infosectools,offsec,oscp,osed,osep,oswa,oswp,penetration-testing,pentest-reports,pentesting-tool,report-generator,reporting,reporting-tool,security-assessment,security-audit","37","167672","2022-08-25T08:11:38Z","2026-06-13T18:30:48Z","2026-06-12T12:20:44Z","NOASSERTION","1387","27","3220","69.65"
"VietnamAIHub/Vietnamese_LLMs","https://github.com/VietnamAIHub/Vietnamese_LLMs","https://github.com/VietnamAIHub/Vietnamese_LLMs.git","main","Dự án bao gồm: 1. Xây dựng bộ dữ Instructions Vietnamese (chất lượng, nhiều, và đa dạng). 2.LLM Training, Finetuning, Evaluating & Testing trên Open-source mô hình ngôn ngữ: Bloomz,T5, UL2, LLaMA (1&2), OpenLLaMA, GPT-J pythia etc. 3. Ứng dụng và Giao diện Người dùng (UI)","langchain","283","65","Python","","4","22267","2023-06-10T03:11:33Z","2026-06-12T02:56:18Z","2025-09-01T07:57:02Z","Apache-2.0","814","4","99","3.65"
"HKUDS/ViMax","https://github.com/HKUDS/ViMax","https://github.com/HKUDS/ViMax.git","main","""ViMax: Agentic Video Generation (Director, Screenwriter, Producer, and Video Generator All-in-One)""","langchain, openai-agents","9929","1468","Python","agentic-aigc,video-generation","35","186043","2025-03-30T13:36:35Z","2026-06-13T19:00:33Z","2026-06-13T03:50:00Z","MIT","439","15","357","24.4"
"microsoft/promptflow","https://github.com/microsoft/promptflow","https://github.com/microsoft/promptflow.git","main","Build high-quality LLM apps - from prototyping, testing to production deployment and monitoring.","langchain","11146","1101","Python","ai,ai-application-development,ai-applications,chatgpt,gpt,llm,prompt,prompt-engineering","81","173695","2023-06-30T06:03:06Z","2026-06-13T16:14:09Z","2026-06-04T02:58:12Z","MIT","1069","108","2290","64.27"
"wxxzy/AgentiRAG","https://github.com/wxxzy/AgentiRAG","https://github.com/wxxzy/AgentiRAG.git","master","本项目是一个基于 LangGraph和大语言模型（LLM）实现的 Agentic RAG (检索增强生成)系统。它融合了动态查询分析和自我纠错机制，能够根据用户问题的复杂度智能地选择最优的策略（直接回答、向量库检索或网络搜索），并对生成的答案进行相关性评估，从而实现更高质量的问答效果。","langchain","64","6","Python","","1","179","2025-09-16T07:01:44Z","2026-06-12T09:07:00Z","2025-10-21T08:52:17Z","","35","3","19","16.29"
"kreneskyp/ix","https://github.com/kreneskyp/ix","https://github.com/kreneskyp/ix.git","master","Autonomous GPT-4 agent platform","langchain","1041","130","Python","ai,gpt-4,openai,python","15","6822","2023-04-05T03:05:22Z","2026-06-13T15:58:51Z","2026-01-01T05:38:33Z","MIT","1002","5","2339","70.03"
"gstranded/RAGLEX","https://github.com/gstranded/RAGLEX","https://github.com/gstranded/RAGLEX.git","main","RAGLEX 是一款法律领域检索增强生成问答系统，致力于为用户提供高效、准确的法律咨询服务。它通过整合海量法律数据，结合智能检索与生成技术，能够快速理解并解答各类法律问题，助力法律专业人士、学生及普通用户高效获取法律知识，解决法律难题。如果这个项目有帮到你的话，麻烦给个star","langchain","15","0","Python","","0","29566","2025-07-03T15:58:59Z","2026-05-30T06:06:11Z","2026-03-29T10:15:52Z","Apache-2.0","268","2","28","3.13"
"CopilotKit/CopilotKit","https://github.com/CopilotKit/CopilotKit","https://github.com/CopilotKit/CopilotKit.git","main","The Frontend Stack for Agents & Generative UI. React, Angular, Mobile, Slack, and more.  Makers of the AG-UI Protocol","crewai, langchain, langgraph, pydantic-ai","34986","4360","TypeScript","agent,agent-native,agentic-ai,agents,ai,ai-agent,ai-assistant,assistant,assistant-chat-bots,copilot,copilot-chat,generative-ui,js,llm,nextjs,open-source,react,reactjs,ts,typescript","566","761020","2023-06-19T04:08:31Z","2026-06-13T19:37:52Z","2026-06-13T15:26:24Z","MIT","1090","189","11273","310.27"
"EvoScientist/EvoScientist","https://github.com/EvoScientist/EvoScientist","https://github.com/EvoScientist/EvoScientist.git","main","🔬 Harness Vibe Research with Self-evolving AI Scientists","langchain, langgraph","3552","236","Python","ai-agent,ai4science,multi-agent-system,vibe-research","10","25550","2026-01-26T11:19:26Z","2026-06-13T19:04:07Z","2026-06-13T17:43:54Z","Apache-2.0","138","21","555","120.65"
"niceberginc/agentipy","https://github.com/niceberginc/agentipy","https://github.com/niceberginc/agentipy.git","main","The #Python framework for connecting AI agents to any onchain app on  @solana-labs  🤖🐍","langchain","250","101","Python","","17","1346","2024-12-15T17:42:11Z","2026-06-12T06:23:22Z","2025-10-16T13:20:13Z","MIT","304","8","267","26.35"
"vessl-ai/examples","https://github.com/vessl-ai/examples","https://github.com/vessl-ai/examples.git","main","This repository contains VESSL AI examples","langchain","19","34","Jupyter Notebook","","0","229761","2020-10-22T05:21:28Z","2026-03-31T14:53:35Z","2025-12-15T06:49:04Z","","1880","25","758","12.1"
"ai-forever/giga_agent","https://github.com/ai-forever/giga_agent","https://github.com/ai-forever/giga_agent.git","main","GigaAgent — это универсальный агент-оркестратор для решения широкого круга задач (ReAct + REPL)","langchain","178","34","Python","agent-orchestration,ai-orchestration,code-execution-agent,general-purpose-agent,gigaagent,gigachain,gigachat-agent,langgraph-agents,langgraph-orchestrator,open-source-agents,repl-agent,universal-agent","23","33259","2025-08-12T10:20:56Z","2026-06-10T18:34:17Z","2026-06-10T16:37:11Z","MIT","302","14","508","50.46"
"chaosblade-io/chaosblade","https://github.com/chaosblade-io/chaosblade","https://github.com/chaosblade-io/chaosblade.git","master","An easy to use and powerful chaos engineering experiment toolkit.（阿里巴巴开源的一款简单易用、功能强大的混沌实验注入工具）","langgraph","6352","1000","Python","alibaba,chaos-engineering,chaos-testing,fault,fault-injection,kubernetes,microservice,site-reliability-engineering","347","7603","2019-03-12T11:02:05Z","2026-06-13T16:36:13Z","2026-06-09T16:23:13Z","Apache-2.0","2646","51","334","3.79"
"SuanmoSuanyangTechnology/MemoryBear","https://github.com/SuanmoSuanyangTechnology/MemoryBear","https://github.com/SuanmoSuanyangTechnology/MemoryBear.git","main","MemoryBear Equip AI with human-like memory capability","langgraph","4452","299","Python","","2","86394","2025-09-19T07:37:13Z","2026-06-13T17:06:29Z","2026-06-13T13:58:54Z","Apache-2.0","267","21","4306","483.82"
"langchain-ai/docs","https://github.com/langchain-ai/docs","https://github.com/langchain-ai/docs.git","main","Unified LangChain documentation.","langgraph","359","2398","MDX","documentation,langchain,langgraph,langsmith","526","877911","2025-05-15T20:41:34Z","2026-06-13T09:00:10Z","2026-06-13T18:12:17Z","MIT","393","439","3265","249.24"
"tinyhumansai/neocortex","https://github.com/tinyhumansai/neocortex","https://github.com/tinyhumansai/neocortex.git","main","The Fastest AI Memory Model - Your Second Brain","langgraph, livekit-agents","225","30","Python","","1","54463","2026-02-19T17:42:11Z","2026-06-12T23:58:01Z","2026-03-27T09:58:48Z","MIT","35","6","159","136.29"
"agentspan-ai/agentspan","https://github.com/agentspan-ai/agentspan","https://github.com/agentspan-ai/agentspan.git","main","Durable, Distributed runtime for ALL of your agents - OpenAI, ADK, Langchain, Vercel, etc.","langgraph","456","31","TypeScript","agentic-workflow,agents,go,java,javascript,python,typescript","27","47872","2026-03-10T14:01:13Z","2026-06-12T16:45:39Z","2026-06-12T21:15:08Z","MIT","94","16","776","247.66"
"redis-developer/langgraph-redis","https://github.com/redis-developer/langgraph-redis","https://github.com/redis-developer/langgraph-redis.git","main","Redis checkpointer and store for memory management in LangGraph","langgraph","225","43","Python","agents,ai,langchain,langgraph,memory,redis","5","2319","2025-01-03T17:31:03Z","2026-06-11T14:19:02Z","2026-05-24T10:46:34Z","MIT","505","17","189","11.23"
"tisu19021997/langclaw","https://github.com/tisu19021997/langclaw","https://github.com/tisu19021997/langclaw.git","main","Langchain + Openclaw = Langclaw","langgraph","72","6","Python","","7","2991","2026-02-19T19:54:35Z","2026-06-13T16:00:21Z","2026-06-13T04:12:39Z","MIT","113","4","342","90.8"
"SecurityClaw/SecurityClaw","https://github.com/SecurityClaw/SecurityClaw","https://github.com/SecurityClaw/SecurityClaw.git","main","A modular, skill-based autonomous Security Operations Center (SOC) agent that monitors OpenSearch/Elasticsearch data, builds RAG-based behavioral memory, and validates real-time anomalies using LLMs.","langgraph","248","25","Python","ai-agents,ai-security,anomaly-detection,autonomous-agents,cybersecurity,llm,opensearch,rag,retrieval-augmented-generation,security-operations-center,soc,soc-automation,threat-detection,threat-hunting","8","1263","2026-03-03T04:38:03Z","2026-06-09T08:23:41Z","2026-06-04T03:53:44Z","MIT","92","2","41","13.37"
"Blackoutta/ai-engineer-training","https://github.com/Blackoutta/ai-engineer-training","https://github.com/Blackoutta/ai-engineer-training.git","main","AI工程化项目实战训练营的代码仓库","langgraph","119","137","Python","","0","160279","2025-08-11T09:48:33Z","2026-06-13T16:08:17Z","2026-02-02T08:01:29Z","","174","5","57","9.83"
"Citrus-bit/Anaxa","https://github.com/Citrus-bit/Anaxa","https://github.com/Citrus-bit/Anaxa.git","main","Anaxa 是一个面向科研工作流的开源智能体系统。它不是单纯的聊天机器人，也不是无人监管的自动发论文机器，而是把文献检索、证据审计、实验执行、论文写作、同行评审式检查和最终产物打包放进同一个可追踪的研究生命周期中。","langgraph","128","13","Python","agent,agents,css,deepresearch,fastapi,harness,langchain,langgraph,llm,multi-agent,nextjs,nginx,python,react,research,sandbox,subagents,superagent,typescript,workflow","0","27733","2026-03-30T01:47:17Z","2026-06-11T17:45:18Z","2026-06-02T02:45:26Z","MIT","64","3","100","46.88"
"Certora/AIComposer","https://github.com/Certora/AIComposer","https://github.com/Certora/AIComposer.git","master","AI Composer from Certora Labs","langgraph","25","4","Python","","18","8141","2025-09-16T22:18:36Z","2026-06-12T12:00:37Z","2026-06-13T18:06:56Z","MIT","269","7","86","9.59"
"FinAgent-Lab/market-analysis-team","https://github.com/FinAgent-Lab/market-analysis-team","https://github.com/FinAgent-Lab/market-analysis-team.git","dev","","langgraph","15","3","Python","","17","1481","2025-03-08T12:36:08Z","2025-10-29T15:08:06Z","2025-10-29T15:08:04Z","MIT","235","8","86","10.98"
"minitap-ai/mobile-use","https://github.com/minitap-ai/mobile-use","https://github.com/minitap-ai/mobile-use.git","main","AI agents can now use real Android and iOS apps, just like a human.","langgraph","2597","223","Python","agents,ai,browser-use,langchain,langgraph,langgraph-python,mobile,mobile-use,python,qa","0","23838","2025-08-16T21:49:49Z","2026-06-13T15:41:58Z","2026-06-10T10:10:46Z","Apache-2.0","297","18","870","87.88"
"Edison-Watch/open-edison","https://github.com/Edison-Watch/open-edison","https://github.com/Edison-Watch/open-edison.git","main","🔐 Firewall Your Data, Control Agents. Prevent agent data exfiltration. Gain visibility into AI's interactions with your data / systems of record / existing software. https://discord.gg/tXjATaKgTV","langgraph","281","22","TypeScript","","1","127955","2025-08-05T11:40:02Z","2026-06-13T15:12:43Z","2026-01-22T14:50:10Z","GPL-3.0","170","5","593","104.65"
"Intugle/data-tools","https://github.com/Intugle/data-tools","https://github.com/Intugle/data-tools.git","main","The GenAI-powered toolkit for automated data intelligence.","langgraph","149","43","Jupyter Notebook","data-analysis,data-catalog,data-discovery,data-science,developer-tools,generative-ai,python,semantic-layer,semantic-search","25","30117","2025-08-01T12:18:45Z","2026-06-10T09:15:03Z","2026-05-18T06:48:08Z","Apache-2.0","289","25","396","41.11"
"backpaper0/sandbox","https://github.com/backpaper0/sandbox","https://github.com/backpaper0/sandbox.git","main","遊び場","langgraph","16","8","Java","","23","21454","2014-03-07T15:04:52Z","2026-06-08T12:46:53Z","2026-06-08T12:46:49Z","MIT","4475","3","2408","16.14"
"ed-donner/agents","https://github.com/ed-donner/agents","https://github.com/ed-donner/agents.git","main","Repo for the Complete Agentic AI Engineering Course","autogen, langgraph","5326","4528","Jupyter Notebook","","188","81532","2025-03-21T15:53:02Z","2026-06-13T16:53:42Z","2026-06-13T16:53:38Z","MIT","449","427","2878","192.29"
"agentbay-ai/wuying-agentbay-sdk","https://github.com/agentbay-ai/wuying-agentbay-sdk","https://github.com/agentbay-ai/wuying-agentbay-sdk.git","main","The Cloud Sandbox Built for AI Agents","langgraph","1133","53","Python","agent,agentbay,ai,sandbox,wuying","22","76116","2025-05-26T02:26:30Z","2026-06-11T15:17:57Z","2026-06-08T23:48:11Z","Apache-2.0","378","34","2062","163.65"
"srtab/daiv","https://github.com/srtab/daiv","https://github.com/srtab/daiv.git","main","Your AI-powered SWE teammate, built into your git workflow","langgraph","20","2","Python","ai-agent,anthropic,deepagents,genai,git,github,gitlab,google-gemini-ai,langchain,langgraph,llm,mcp-client,openai,openrouter,swe-agent","22","16296","2024-05-01T14:37:10Z","2026-06-11T22:43:47Z","2026-06-13T12:21:44Z","Apache-2.0","772","13","1847","71.77"
"ababdotai/awesome-agent-quickstart","https://github.com/ababdotai/awesome-agent-quickstart","https://github.com/ababdotai/awesome-agent-quickstart.git","main","Helloworld for agentic frameworks, minimial but runnable! LangGraph, Agno, AutoGen, Smolagents, OpenAI Agents, etc.","autogen, langgraph, openai-swarm","62","13","Python","a2a,agents,agno,ai,autogen,langchain,langgraph,llm,mcp,smolagents","0","2681","2025-02-04T11:42:14Z","2026-05-26T21:44:39Z","2025-08-08T14:58:12Z","MIT","185","2","42","6.81"
"zhongyu09/openchatbi","https://github.com/zhongyu09/openchatbi","https://github.com/zhongyu09/openchatbi.git","main","OpenChatBI is an intelligent chat-based BI tool powered by large language models, designed to help users query, analyze, and visualize data through natural language conversations. It uses LangGraph and LangChain to build chat agent and workflows that support natural language to SQL conversion and data analysis.","langgraph","577","75","Python","agent,ai,analytics,anomaly-detection,bi,chatbi,data-agent,database,datawarehouse,drill-down,gpt,langchain,langgraph,llm,nlp,root-cause-analysis,text2sql","4","9684","2025-09-09T02:08:10Z","2026-06-13T15:53:16Z","2026-06-11T15:03:33Z","MIT","275","4","91","9.93"
"langchain-ai/deepagents","https://github.com/langchain-ai/deepagents","https://github.com/langchain-ai/deepagents.git","main","The batteries-included agent harness.","langgraph","24575","3483","Python","ai,deepagents,langchain,langgraph,python,typescript","107","153471","2025-07-27T23:07:53Z","2026-06-13T18:10:11Z","2026-06-13T07:06:24Z","MIT","320","125","2212","207.38"
"ericjiang18/Agent-Q-Mix","https://github.com/ericjiang18/Agent-Q-Mix","https://github.com/ericjiang18/Agent-Q-Mix.git","main","","autogen, langgraph","16","1","Python","","1","48269","2026-02-27T10:36:01Z","2026-05-17T08:12:01Z","2026-04-09T08:50:52Z","","40","2","27","20.25"
"MODSetter/SurfSense","https://github.com/MODSetter/SurfSense","https://github.com/MODSetter/SurfSense.git","main","An open source, privacy focused alternative to NotebookLM for teams with no data limits. Join our Discord: https://discord.gg/ejRNvftDp9","langgraph","14446","1376","Python","agent,agents,ai,chrome-extension,extension,fastapi,langchain,langgraph,nextjs,notebooklm,ollama,perplexity,python,rag,typescript","92","407104","2024-07-30T23:00:09Z","2026-06-13T18:26:24Z","2026-06-12T07:58:02Z","Apache-2.0","681","82","6600","290.75"
"Shy2593666979/AgentChat","https://github.com/Shy2593666979/AgentChat","https://github.com/Shy2593666979/AgentChat.git","main","AgentChat 是一个基于 LLM 的智能体交流平台，内置默认 Agent 并支持用户自定义 Agent。通过多轮对话和任务协作，Agent 可以理解并协助完成复杂任务。项目集成 LangChain、Function Call、MCP 协议、RAG、Memory、HITL、Skill、Milvus 和 ElasticSearch 等技术，实现高效的知识检索与工具调用，使用 FastAPI 构建高性能后端服务。","langgraph","758","92","Python","agent,agent-memory,agent-skills,human-in-the-loop,langchain,llm,mcp,mcp-client,mcp-server,mysql,redis","24","2564","2024-08-20T16:00:12Z","2026-06-13T12:31:07Z","2026-04-15T00:18:16Z","MIT","602","8","525","26.16"
"sib-swiss/sparql-llm","https://github.com/sib-swiss/sparql-llm","https://github.com/sib-swiss/sparql-llm.git","main","🦜✨ Chat system, MCP server, and reusable components to improve LLMs capabilities when generating SPARQL queries","langgraph","115","20","Jupyter Notebook","expasy,llm,mcp,mcp-server,sparql,sparql-query-builder","3","22938","2024-05-15T14:07:06Z","2026-06-12T02:40:43Z","2026-05-19T16:43:59Z","MIT","734","5","449","18.35"
"EuniAI/Prometheus","https://github.com/EuniAI/Prometheus","https://github.com/EuniAI/Prometheus.git","main","🧠 Prometheus: A Knowledge-Graph-Driven 🤖 AI Agent that maps 🗺, understands 🧩, and repairs 🛠 complex codebases — not by guessing, but by reasoning. ⚡","langgraph","995","62","Python","","9","4532","2024-10-14T14:30:19Z","2026-06-05T11:51:19Z","2026-06-04T16:33:47Z","GPL-3.0","598","17","1081","54.23"
"ebiose-ai/ebiose","https://github.com/ebiose-ai/ebiose","https://github.com/ebiose-ai/ebiose.git","main","Ebiose is a distributed artificial intelligence factory, an open source project from the Inria’s incubator (French lab).","langgraph","100","7","Python","agentic-ai,ai,ai-agents,evolutionary-computation","6","414","2025-02-14T13:26:48Z","2026-04-18T15:37:52Z","2025-12-09T13:19:11Z","MIT","297","8","21","2.12"
"5zjk5/prompt-engineering","https://github.com/5zjk5/prompt-engineering","https://github.com/5zjk5/prompt-engineering.git","master","prompt 工程项目案例","langgraph","126","17","Python","","1","173602","2024-06-02T14:21:27Z","2026-06-10T00:47:03Z","2026-06-10T00:45:31Z","","737","2","113","4.6"
"brucechou1983/chainlit_langgraph","https://github.com/brucechou1983/chainlit_langgraph","https://github.com/brucechou1983/chainlit_langgraph.git","main","A seamless integration of Chainlit with LangGraph. Ideal for fast prototyping multi-LLM chatbot or AI agents.","langgraph","98","7","Python","ai,ai-integration,anthropic,chainlit,chatbot,langgraph,llm,ollama,openai,python","0","13972","2024-04-22T08:04:07Z","2026-06-10T12:58:57Z","2025-12-19T11:42:28Z","MIT","606","2","176","8.71"
"cuga-project/cuga-agent","https://github.com/cuga-project/cuga-agent","https://github.com/cuga-project/cuga-agent.git","main","CUGA is an open-source generalist agent harness for the enterprise, supporting complex task execution on web and APIs, OpenAPI/MCP integrations, composable architecture, reasoning modes, and policy-aware features.","langgraph, openlit","744","132","Python","coding-agent,computer-use,enterprise,generalist-agent,guardrails,harness,knowledge,mcp,policies,sandbox","101","94017","2025-09-11T11:58:55Z","2026-06-12T20:20:26Z","2026-06-12T20:20:20Z","NOASSERTION","274","19","314","34.38"
"langchain-ai/langgraph-swarm-py","https://github.com/langchain-ai/langgraph-swarm-py","https://github.com/langchain-ai/langgraph-swarm-py.git","main","For your multi-agent needs","langgraph","1511","213","Python","agents,langgraph,llms,multiagent,multiagent-systems,python","21","982","2025-02-19T15:50:25Z","2026-06-12T18:29:16Z","2026-05-26T07:58:55Z","MIT","460","10","55","3.59"
"ilkersigirci/langgraph-openai-serve","https://github.com/ilkersigirci/langgraph-openai-serve","https://github.com/ilkersigirci/langgraph-openai-serve.git","main","Openai Compatible Langgraph Server","langgraph","20","3","Python","","0","1824","2025-04-16T19:51:40Z","2026-06-13T08:17:24Z","2026-06-12T12:07:22Z","MIT","421","3","42","2.99"
"PoggioAI/PoggioAI_MSc","https://github.com/PoggioAI/PoggioAI_MSc","https://github.com/PoggioAI/PoggioAI_MSc.git","MSc_Prod","Our math research agent","langgraph","32","6","Python","","0","29430","2026-02-24T22:28:53Z","2026-06-11T13:21:53Z","2026-05-21T07:35:03Z","MIT","85","3","96","33.88"
"rhein1/agoragentic-integrations","https://github.com/rhein1/agoragentic-integrations","https://github.com/rhein1/agoragentic-integrations.git","main","Triptych OS (Agent OS) integrations for deployed agents: execute-first tools, Micro ECF exports, x402 calls, receipts, and Base USDC settlement.","langgraph, metagpt","20","4","JavaScript","a2a,agent-commerce,agent-marketplace,agent-os,agent-payments,agentic-ai,ai-agents,ai-marketplace,autogen,autonomous-agents,base,llms-txt,mcp,micro-ecf,model-context-protocol,openai-agents,openapi,smolagents,usdc,x402","6","4002","2026-02-27T21:04:11Z","2026-06-12T20:53:15Z","2026-06-13T02:57:12Z","MIT","105","5","153","43.71"
"mifunedev/orchestra","https://github.com/mifunedev/orchestra","https://github.com/mifunedev/orchestra.git","development","Steerable Harnesses for DeepAgents — Orchestra🪶","langgraph","13","1","Python","a2a,agents,chatgpt,claude-code,codex,cursor,deepagents,grok,langchain,langgraph,langgraph-python,mcp,ollama,openai,opencode,pgvector","0","34055","2024-11-17T17:10:48Z","2026-06-13T17:21:05Z","2026-06-13T17:21:02Z","Apache-2.0","573","2","1118","58.53"
