InternScience/InternAgent	InternScience_InternAgent	KEEP
OPPO-PersonalAI/Agent-KB	OPPO-PersonalAI_Agent-KB	KEEP
getsentry/sentry	getsentry_sentry	uncovered
RenqiChen/Virtual-Scientists-v2	RenqiChen_Virtual-Scientists-v2	KEEP
Azure/azure-sdk-for-python	Azure_azure-sdk-for-python	KEEP
logamee/lin-cms-flask	logamee_lin-cms-flask	0
SilvioBaratto/optimizer	SilvioBaratto_optimizer	0
getmoto/moto	getmoto_moto	0
cytoflow/cytoflow	cytoflow_cytoflow	KEEP
PUITAR/DeepSlide	PUITAR_DeepSlide	KEEP
areal-project/AReaL	areal-project_AReaL	0
XinXU-USTC/Composition-RL	XinXU-USTC_Composition-RL	KEEP
aaronjmars/MiroShark	aaronjmars_MiroShark	KEEP
frostming/marko	frostming_marko	0
Kotti/Kotti	Kotti_Kotti	0
aliyun/aliyun-odps-python-sdk	aliyun_aliyun-odps-python-sdk	0
tejoesperanto/pasportaservo	tejoesperanto_pasportaservo	0
camelot-dev/camelot	camelot-dev_camelot	0
debnet/common-framework	debnet_common-framework	0
ansible-collections/amazon.aws	ansible-collections_amazon.aws	0
zscaler/zscaler-sdk-python	zscaler_zscaler-sdk-python	0
yazmolod/pynspd	yazmolod_pynspd	0
Leggin/dirigera	Leggin_dirigera	0
ansible-collections/community.aws	ansible-collections_community.aws	0
checkmarx-ts/checkmarx-python-sdk	checkmarx-ts_checkmarx-python-sdk	0
OuyangWenyu/hydrodataset	OuyangWenyu_hydrodataset	0
koldakov/futuramaapi	koldakov_futuramaapi	0
altescy/colt	altescy_colt	0
MaxApiTeam/PyMax	MaxApiTeam_PyMax	0
OuyangWenyu/torchhydro	OuyangWenyu_torchhydro	0
infobip-community/infobip-api-python-sdk	infobip-community_infobip-api-python-sdk	0
HALFpipe/HALFpipe	HALFpipe_HALFpipe	0
invoice-x/invoice2data	invoice-x_invoice2data	0
edraj/dmart	edraj_dmart	0
JuDFTteam/masci-tools	JuDFTteam_masci-tools	0
codemie-ai/codemie	codemie-ai_codemie	KEEP
RBVI/ChimeraX	RBVI_ChimeraX	0
jst-seminar-rostlab-tum/personio-foundation-coachai	jst-seminar-rostlab-tum_personio-foundation-coachai	KEEP
